"Number of URIs that exist in document table but not awards table, grouped by country and year"
Country,Year,Number Missing
JM,2011,3
JM,2012,1
JM,2013,3
JO,2009,3
JO,2010,13
JO,2011,7
JO,2012,24
JO,2013,6
JP,2009,13
JP,2010,6
JP,2011,13
JP,2012,4
KE,2009,10
KE,2010,22
KE,2011,22
KE,2012,25
KE,2013,6
KG,2009,9
KG,2010,6
KG,2011,20
KG,2012,17
KG,2013,4
KH,2009,5
KH,2010,2
KH,2013,1
KI,2010,1
KI,2011,1
KI,2012,6
KM,2010,9
KM,2011,4
KM,2012,4
KM,2013,1
KN,2009,1
KN,2012,5
KN,2013,1
KP,2009,4
KP,2011,2
KP,2012,8
KP,2013,1
KR,2011,2
KY,2009,3
KY,2010,1
KY,2011,2
KY,2012,1
KZ,2009,31
KZ,2010,26
KZ,2011,32
KZ,2012,19
KZ,2013,1
LA,2009,2
LA,2010,1
LB,2009,18
LB,2010,13
LB,2011,11
LB,2012,22
LB,2013,17
LC,2009,5
LC,2010,4
LC,2011,6
LC,2012,6
LI,2009,46
LI,2010,28
LI,2011,15
LI,2012,8
LI,2013,3
LK,2009,1
LK,2012,3
LR,2009,2
LR,2011,4
LR,2012,2
LR,2013,3
LS,2009,3
LS,2010,7
LS,2011,1
LS,2012,7
LS,2013,1
LT,2009,1918
LT,2010,2555
LT,2011,3385
LT,2012,3799
LT,2013,1300
LU,2009,996
LU,2010,833
LU,2011,752
LU,2012,777
LU,2013,298
LV,2009,1032
LV,2010,1253
LV,2011,1768
LV,2012,1999
LV,2013,603
MA,2009,25
MA,2010,25
MA,2011,30
MA,2012,44
MA,2013,18
MC,2012,2
MD,2009,16
MD,2010,18
MD,2011,25
MD,2012,37
MD,2013,11
ME,2009,57
ME,2010,34
ME,2011,56
ME,2012,35
ME,2013,23
MG,2009,16
MG,2010,4
MG,2011,1
MK,2009,277
MK,2010,229
MK,2011,239
MK,2012,253
MK,2013,95
ML,2009,19
ML,2010,31
ML,2011,16
ML,2012,7
ML,2013,1
MM,2012,1
MN,2009,1
MN,2012,1
MN,2013,1
MR,2009,4
MR,2010,20
MR,2011,11
MR,2012,8
MR,2013,5
MT,2009,414
MT,2010,335
MT,2011,340
MT,2012,368
MT,2013,91
MU,2009,2
MU,2010,7
MU,2012,2
MU,2013,2
MW,2009,29
MW,2010,18
MW,2011,10
MW,2012,15
MW,2013,7
MX,2009,3
MX,2010,7
MX,2011,5
MY,2010,1
MY,2011,3
MY,2012,1
MY,2013,1
MZ,2009,21
MZ,2010,17
MZ,2011,11
MZ,2012,2
MZ,2013,3
NA,2009,8
NA,2010,3
NA,2011,6
NA,2012,1
NC,2009,1
NC,2011,2
NE,2009,18
NE,2010,5
NE,2011,25
NE,2012,13
NE,2013,8
NG,2009,18
NG,2010,12
NG,2011,13
NG,2012,12
NG,2013,1
NI,2009,8
NI,2010,24
NI,2011,8
NI,2012,28
NI,2013,5
NL,2009,6093
NL,2010,5615
NL,2011,5520
NL,2012,5553
NL,2013,1887
NO,2009,4315
NO,2010,4322
NO,2011,4878
NO,2012,5156
NO,2013,1936
NP,2009,7
NP,2010,10
NP,2012,3
NP,2013,1
NR,2010,1
NR,2013,2
NU,2010,5
PA,2009,3
PA,2010,2
PA,2011,1
PA,2012,2
PA,2013,2
PE,2009,10
PE,2010,12
PE,2011,4
PE,2012,11
PE,2013,5
PF,2009,1
PF,2011,2
PG,2009,13
PG,2010,3
PG,2011,5
PG,2012,3
PG,2013,3
PH,2011,12
PH,2012,2
PH,2013,4
PK,2009,1
PK,2010,4
PK,2011,2
PK,2012,6
PK,2013,7
PL,2009,22082
PL,2010,29475
PL,2011,33965
PL,2012,34895
PL,2013,12436
PS,2009,2
PS,2010,4
PS,2011,9
PS,2012,22
PS,2013,9
PT,2009,2117
PT,2010,2522
PT,2011,2444
PT,2012,1956
PT,2013,622
PY,2011,6
PY,2012,6
PY,2013,2
RO,2009,7093
RO,2010,6198
RO,2011,6390
RO,2012,6477
RO,2013,4809
RS,2009,271
RS,2010,269
RS,2011,275
RS,2012,230
RS,2013,62
RU,2009,55
RU,2010,46
RU,2011,64
RU,2012,61
RU,2013,12
RW,2009,7
RW,2010,3
RW,2011,13
RW,2012,6
SA,2011,1
SB,2009,3
SB,2010,2
SB,2011,3
SC,2010,2
SC,2012,2
SC,2013,1
SD,2009,11
SD,2010,11
SD,2011,7
SD,2012,11
SD,2013,2
SE,2009,5257
SE,2010,6240
SE,2011,6936
SE,2012,7663
SE,2013,2793
SG,2009,5
SG,2010,2
SG,2012,1
SI,2009,2267
SI,2010,2498
SI,2011,3037
SI,2012,3119
SI,2013,1046
SK,2009,1910
SK,2010,2184
SK,2011,2943
SK,2012,3697
SK,2013,1050
SL,2009,12
SL,2010,6
SL,2011,8
SL,2012,6
SL,2013,2
SN,2009,35
SN,2010,25
SN,2011,12
SN,2012,31
SN,2013,5
SO,2012,3
SR,2009,7
SR,2010,3
ST,2009,3
ST,2010,2
ST,2011,9
ST,2012,2
SV,2009,2
SV,2010,3
SV,2011,12
SV,2012,8
SV,2013,4
SY,2009,22
SY,2010,19
SY,2011,9
SY,2012,1
SZ,2009,8
SZ,2010,8
SZ,2011,10
SZ,2012,11
TC,2009,1
TC,2010,6
TC,2012,5
TC,2013,1
TD,2009,16
TD,2010,23
TD,2011,27
TD,2012,15
TD,2013,4
TG,2009,7
TG,2010,15
TG,2011,7
TG,2012,8
TG,2013,4
TH,2009,1
TH,2010,2
TH,2011,1
TH,2012,4
TH,2013,2
TJ,2009,8
TJ,2010,24
TJ,2011,26
TJ,2012,32
TJ,2013,8
TL,2010,3
TL,2012,2
TM,2009,5
TM,2010,3
TM,2012,4
TM,2013,1
TN,2009,52
TN,2010,56
TN,2011,46
TN,2012,40
